id	reason
rxn06052	MI
rxn06053	MI
rxn06054	MI
rxn06055	MI
rxn06056	Abstract
rxn06057	MI
rxn06058	CI
rxn06059	MI
rxn06061	MI
rxn06062	CI
rxn06063	MI
rxn06064	MI
rxn06068	Abstract
rxn06069	MI
rxn06070	Abstract
rxn06073	MI
rxn06075	Abstract
rxn06076	Abstract
rxn06077	Abstract
rxn06078	Abstract
rxn06079	Abstract
rxn06080	Abstract
rxn06081	Abstract
rxn06082	CI
rxn06083	MI
rxn06084	MI
rxn06085	Abstract
rxn06086	Abstract
rxn06087	Abstract
rxn06088	CI
rxn06089	CI
rxn06090	Abstract
rxn06091	Abstract
rxn06092	Abstract
rxn06093	MI
rxn06095	MI
rxn06097	MI
rxn06098	Abstract
rxn06099	CI
rxn06101	MI
rxn06102	MI
rxn06103	MI
rxn06104	MI
rxn06106	Abstract
rxn06111	MI
rxn06112	CI
rxn06113	MI
rxn06116	MI
rxn06117	MI
rxn06118	MI
rxn06119	MI
rxn06120	MI
rxn06121	MI
rxn06123	Abstract
rxn06124	Abstract
rxn06125	Abstract
rxn06127	MI
rxn06128	MI
rxn06129	MI
rxn06130	MI
rxn06131	MI
rxn06132	MI
rxn06137	MI
rxn06138	Abstract
rxn06139	Abstract
rxn06140	MI
rxn06141	Abstract
rxn06145	Abstract
rxn06146	MI
rxn06147	Abstract
rxn06148	Abstract
rxn06149	Abstract
rxn06150	MI
rxn06151	MI
rxn06152	MI
rxn06153	MI
rxn06154	CI
rxn06155	CI
rxn06156	MI
rxn06158	MI
rxn06160	Abstract
rxn06161	MI
rxn06163	Abstract
rxn06164	MI
rxn06165	MI
rxn06167	MI
rxn06168	Abstract
rxn06169	MI
rxn06171	CI
rxn06172	MI
rxn06173	MI
rxn06174	MI
rxn06175	MI
rxn06178	Abstract
rxn06181	Abstract
rxn06182	Abstract
rxn06183	Abstract
rxn06184	Abstract
rxn06187	MI
rxn06189	MI
rxn06190	Abstract
rxn06191	MI
rxn06192	MI
rxn06193	Abstract
rxn06194	Abstract
rxn06195	Abstract
rxn06196	Abstract
rxn06197	Abstract
rxn06198	Abstract
rxn06199	Abstract
rxn06200	Abstract
rxn06201	Abstract
rxn06202	Abstract
rxn06203	MI
rxn06204	MI
rxn06206	Abstract
rxn06207	Abstract
rxn06208	Abstract
rxn06209	Abstract
rxn06212	CI
rxn06215	MI
rxn06216	Abstract
rxn06217	CI
rxn06218	CI
rxn06219	CI
rxn06220	CI
rxn06221	Abstract
rxn06222	Abstract
rxn06223	MI
rxn06224	Abstract
rxn06225	CI
rxn06226	CI
rxn06231	Abstract
rxn06232	MI
rxn06233	MI
rxn06234	Abstract
rxn06235	MI
rxn06236	MI
rxn06237	MI
rxn06238	MI
rxn06239	Abstract
rxn06240	Abstract
rxn06241	MI
rxn06242	Abstract
rxn06243	Abstract
rxn06244	Abstract
rxn06245	MI
rxn06246	MI
rxn06248	Abstract
rxn06249	Abstract
rxn06250	Abstract
rxn06251	Abstract
rxn06252	Abstract
rxn06253	Abstract
rxn06254	MI
rxn06255	Abstract
rxn06257	MI
rxn06258	Abstract
rxn06259	MI
rxn06260	MI
rxn06261	MI
rxn06264	MI
rxn06265	MI
rxn06266	MI
rxn06271	MI
rxn06272	MI
rxn06273	MI
rxn06274	Abstract
rxn06275	MI
rxn06276	Abstract
rxn06279	MI
rxn06280	MI
rxn06281	Abstract
rxn06282	Abstract
rxn06283	MI
rxn06286	MI
rxn06287	CI
rxn06290	Abstract
rxn06291	MI
rxn06294	MI
rxn06295	Abstract
rxn06296	Abstract
rxn06300	MI
rxn06301	Abstract
rxn06303	MI
rxn06305	Abstract
rxn06307	MI
rxn06309	MI
rxn06310	MI
rxn06311	MI
rxn06312	CI
rxn06313	Abstract
rxn06314	Abstract
rxn06315	CI
rxn06316	MI
rxn06318	MI
rxn06323	MI
rxn06325	MI
rxn06326	MI
rxn06327	MI
rxn06328	Abstract
rxn06330	Abstract
rxn06334	MI
rxn06335	MI
rxn06337	MI
rxn06338	MI
rxn06339	MI
rxn06342	MI
rxn06343	MI
rxn06344	CI
rxn06345	MI
rxn06346	MI
rxn06347	Abstract
